Fenology	Rmax	M	Gamma	GenTime	MutRate	alpha	P	Kpftfactor	randomTrend	islandSide	Growth	Mrecruit	Germ	Mseed	Annual	Mass	Lineage	MotherspID	optimalAltitude	MassSeedling	MassSeed	KpftfactorSeedling	generalist	verticalgeneralist	speciesType	yearOfSpec
853	5.6156	0.196546	-0.219	0.459	3.74373e-014	0.01301	0.8	0.000230432	0.22	1	0.197616	0.197616	0.30753	0.30753	1	350	0	0	4	70	0.0401248	5.76079e-005	2	4	0	0
11693	1.17651	0.0411778	-0.845	0.691	7.84339e-015	0.03001	0.8	0.00945208	0.12	2	0.041402	0.041402	0.0928357	0.0928357	0	92000	1	0	6	18400	2.44692	0.00236302	2	4	0	0
9075	3.88272	0.135895	375	0.512	2.58848e-014	0.01501	0.95	0.000311453	0.97	4	0.136635	0.136635	0.22499	0.22499	1	550	2	0	7	110	0.0502991	7.78632e-005	2	3	0	0
18965	0.556508	0.0194778	-0.087	0.686	3.71005e-015	0.02201	0.54	0.762651	0.4	1	0.0195838	0.0195838	0.489665	0.489665	0	7.1e+006	3	0	2	1.42e+006	0.012214	0.190663	2	1	0	0
31499	0.658006	0.0230302	563	0.237	4.38671e-015	0.03601	0.48	0.341427	0.78	1	0.0231556	0.0231556	0.111064	0.111064	0	2.6e+006	4	0	3	520000	3.303	0.0853567	1	1	0	0
18842	0.754625	0.0264119	-0.918	0.221	5.03083e-015	0.01801	0.52	0.287802	0.45	3	0.0265557	0.0265557	0.225591	0.225591	0	2.1e+006	5	0	2	420000	0.271126	0.0719506	2	7	0	0
7122	0.519678	0.0181887	-0.787	0.922	3.46452e-015	0.03401	0.84	0.423157	0.01	1	0.0182877	0.0182877	0.274834	0.274834	0	3.4e+006	6	0	5	680000	0.0448169	0.105789	1	6	0	0
2451	6.66289	0.233201	-0.803	0.946	4.44193e-014	0.02701	0.86	0.000355245	0.22	3	0.234471	0.234471	0.395736	0.395736	1	670	7	0	0	134	0.0555158	8.88113e-005	2	2	0	0
20855	0.625543	0.021894	564	0.54	4.17028e-015	0.03701	0.42	0.684277	0.1	4	0.0220132	0.0220132	0.0996608	0.0996608	0	6.2e+006	8	0	1	1.24e+006	9.92275	0.171069	1	3	0	0
3105	4.12297	0.144304	-0.376	0.974	2.74864e-014	0.03401	0.77	0.000333709	0.75	1	0.145089	0.145089	0.242024	0.242024	0	610	9	0	6	122	0.0529717	8.34272e-005	3	1	0	0
19309	0.56156	0.0196546	-0.969	0.806	3.74373e-015	0.00301	0.78	0.433085	0.05	1	0.0197616	0.0197616	0.257476	0.257476	0	3.5e+006	10	0	4	700000	0.0816617	0.108271	3	2	0	0
15977	0.524474	0.0183566	-0.426	0.228	3.49649e-015	0.01401	0.62	0.538921	0.53	4	0.0184565	0.0184565	0.0971178	0.0971178	0	4.6e+006	11	0	4	920000	4.03429	0.13473	3	4	0	0
13451	4.60801	0.16128	957	0.65	3.072e-014	0.03901	0.4	0.000311453	0.15	3	0.162158	0.162158	0.267018	0.267018	1	550	12	0	5	110	0.0502991	7.78632e-005	4	3	0	0
678	0.57368	0.0200788	408	0.619	3.82454e-015	0.01701	0.49	0.529528	0.15	4	0.0201881	0.0201881	0.207495	0.207495	0	4.5e+006	13	0	3	900000	0.271126	0.132382	4	4	0	0
22929	0.618196	0.0216369	-0.266	0.923	4.12131e-015	0.02801	0.82	0.71064	0.23	2	0.0217547	0.0217547	0.131207	0.131207	0	6.5e+006	14	0	1	1.3e+006	3.303	0.17766	1	5	0	0
13562	5.57619	0.195167	897	0.452	3.71746e-014	0.03101	0.7	0.0002348	0.14	3	0.196229	0.196229	0.306449	0.306449	0	360	15	0	4	72	0.040694	5.87e-005	1	3	0	0
1697	8.12158	0.284255	-0.492	0.511	5.41439e-014	0.03501	0.56	8.61522e-005	0.33	3	0.285803	0.285803	0.369836	0.369836	0	80	16	0	4	16	0.0191833	2.15381e-005	3	4	0	0
